Timestamp,Biomarker,Label
2024-01-05 00:10:00,337,0
2024-01-05 00:20:00,289,0
2024-01-05 00:30:00,353,0
2024-01-05 00:40:00,286,0
2024-01-05 00:50:00,258,0
2024-01-05 01:00:00,278,0
2024-01-05 01:10:00,286,0
2024-01-05 01:20:00,304,0
2024-01-05 01:30:00,209,0
2024-01-05 01:40:00,257,0
2024-01-05 01:50:00,301,0
2024-01-05 02:00:00,288,0
2024-01-05 02:10:00,348,0
2024-01-05 02:20:00,268,0
2024-01-05 02:30:00,371,0
2024-01-05 02:40:00,370,0
2024-01-05 02:50:00,244,0
2024-01-05 03:00:00,321,0
2024-01-05 03:10:00,172,0
2024-01-05 03:20:00,260,0
2024-01-05 03:30:00,343,0
2024-01-05 03:40:00,267,0
2024-01-05 03:50:00,346,0
2024-01-05 04:00:00,335,0
2024-01-05 04:10:00,333,0
2024-01-05 04:20:00,288,0
2024-01-05 04:30:00,316,0
2024-01-05 04:40:00,297,0
2024-01-05 04:50:00,229,0
2024-01-05 05:00:00,254,0
2024-01-05 05:10:00,364,0
2024-01-05 05:20:00,285,0
2024-01-05 05:30:00,221,0
2024-01-05 05:40:00,295,0
2024-01-05 05:50:00,297,0
2024-01-05 06:00:00,248,0
2024-01-05 06:10:00,333,0
2024-01-05 06:20:00,248,0
2024-01-05 06:30:00,264,0
2024-01-05 06:40:00,349,0
2024-01-05 06:50:00,369,0
2024-01-05 07:00:00,314,0
2024-01-05 07:10:00,320,0
2024-01-05 07:20:00,240,0
2024-01-05 07:30:00,346,0
2024-01-05 07:40:00,337,0
2024-01-05 07:50:00,342,0
2024-01-05 08:00:00,384,0
2024-01-05 08:10:00,254,0
2024-01-05 08:20:00,309,0
2024-01-05 08:30:00,346,0
2024-01-05 08:40:00,334,0
2024-01-05 08:50:00,248,0
2024-01-05 09:00:00,308,0
2024-01-05 09:10:00,268,0
2024-01-05 09:20:00,330,0
2024-01-05 09:30:00,258,0
2024-01-05 09:40:00,313,0
2024-01-05 09:50:00,288,0
2024-01-05 10:00:00,345,0
2024-01-05 10:10:00,384,0
2024-01-05 10:20:00,386,0
2024-01-05 10:30:00,361,0
2024-01-05 10:40:00,253,0
2024-01-05 10:50:00,315,0
2024-01-05 11:00:00,290,0
